"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,-0.060092,0,0,0.24751,0,0,0,0,0,0,0,492.33,3371.2,0,-54.522,-1064.8,0,0.00061867,0.0042363,0,-6.8514e-05,-0.0013381,0,7.8784e-05,1.9128e-05,8,1,0.0062,0.05,-0.0938,0
0,0,0,0,0,0,0,0,-0.060151,0,0,0.24711,0,0,0,0,0,0,0,489.71,3372.1,0,-46.741,-1072.9,0,0.00061539,0.0042376,0,-5.8736e-05,-0.0013483,0,7.8658e-05,1.9147e-05,8,1,0.0064,0.05,-0.0936,0
0,0,0,0,0,0,0,0,-0.06021,0,0,0.24672,0,0,0,0,0,0,0,487.09,3373.1,0,-38.959,-1081.1,0,0.0006121,0.0042388,0,-4.8958e-05,-0.0013585,0,7.8532e-05,1.9165e-05,8,1,0.0066,0.05,-0.0934,0
0,0,0,0,0,0,0,0,-0.060268,0,0,0.24632,0,0,0,0,0,0,0,484.48,3374.1,0,-31.178,-1089.2,0,0.00060881,0.00424,0,-3.9179e-05,-0.0013688,0,7.8406e-05,1.9184e-05,8,1,0.0068,0.05,-0.0932,0
0,0,0,0,0,0,0,0,-0.060327,0,0,0.24592,0,0,0,0,0,0,0,481.86,3375.1,0,-23.397,-1097.4,0,0.00060552,0.0042412,0,-2.9401e-05,-0.001379,0,7.828e-05,1.9203e-05,8,1,0.007,0.05,-0.093,0
0,0,0,0,0,0,0,0,-0.060386,0,0,0.24553,0,0,0,0,0,0,0,479.24,3376,0,-15.616,-1105.5,0,0.00060224,0.0042424,0,-1.9623e-05,-0.0013892,0,7.8154e-05,1.9222e-05,8,1,0.0072,0.05,-0.0928,0
0,0,0,0,0,0,0,0,-0.060445,0,0,0.24513,0,0,0,0,0,0,0,476.63,3377,0,-7.8345,-1113.7,0,0.00059895,0.0042437,0,-9.8452e-06,-0.0013995,0,7.8028e-05,1.924e-05,8,1,0.0074,0.05,-0.0926,0
0,0,0,0,0,0,0,0,-0.060467,0,0,0.24475,0,0,0,0,0,0,0,473.87,3377.6,0,-0.42751,-1121,0,0.00059548,0.0042444,0,-5.3722e-07,-0.0014087,0,7.7907e-05,1.9247e-05,8,1,0.0076,0.05,-0.0924,0
0,0,0,0,0,0,0,0,-0.060452,0,0,0.24438,0,0,0,0,0,0,0,470.96,3377.9,0,6.605,-1127.5,0,0.00059183,0.0042448,0,8.3e-06,-0.0014168,0,7.779e-05,1.9242e-05,8,1,0.0078,0.05,-0.0922,0
0,0,0,0,0,0,0,0,-0.060437,0,0,0.24402,0,0,0,0,0,0,0,468.06,3378.1,0,13.638,-1134,0,0.00058818,0.0042451,0,1.7138e-05,-0.001425,0,7.7673e-05,1.9238e-05,8,1,0.008,0.05,-0.092,0
0,0,0,0,0,0,0,0,-0.060422,0,0,0.24365,0,0,0,0,0,0,0,465.16,3378.4,0,20.67,-1140.5,0,0.00058453,0.0042454,0,2.5975e-05,-0.0014332,0,7.7556e-05,1.9233e-05,8,1,0.0082,0.05,-0.0918,0
0,0,0,0,0,0,0,0,-0.060407,0,0,0.24328,0,0,0,0,0,0,0,462.25,3378.6,0,27.703,-1147,0,0.00058089,0.0042457,0,3.4813e-05,-0.0014414,0,7.7439e-05,1.9228e-05,8,1,0.0084,0.05,-0.0916,0
0,0,0,0,0,0,0,0,-0.060392,0,0,0.24291,0,0,0,0,0,0,0,459.35,3378.9,0,34.735,-1153.5,0,0.00057724,0.0042461,0,4.365e-05,-0.0014495,0,7.7322e-05,1.9223e-05,8,1,0.0086,0.05,-0.0914,0
0,0,0,0,0,0,0,0,-0.060377,0,0,0.24255,0,0,0,0,0,0,0,456.45,3379.2,0,41.768,-1160,0,0.00057359,0.0042464,0,5.2487e-05,-0.0014577,0,7.7205e-05,1.9219e-05,8,1,0.0088,0.05,-0.0912,0
0,0,0,0,0,0,0,0,-0.060362,0,0,0.24218,0,0,0,0,0,0,0,453.54,3379.4,0,48.801,-1166.5,0,0.00056994,0.0042467,0,6.1325e-05,-0.0014659,0,7.7088e-05,1.9214e-05,8,1,0.009,0.05,-0.091,0
0,0,-60347,0,0,2.4181e+05,0,0,-0.060347,0,0,0.24181,31026,-473.2,71.172,0,-293.91,15.605,0,464.88,3387.5,0,13.664,-1089.9,0,0.00058419,0.0042568,0,1.7171e-05,-0.0013696,0,7.6971e-05,1.9209e-05,100,1,0.0092,0.05,-0.0908,0
0,0,-60332,0,0,2.4144e+05,0,0,-0.060332,0,0,0.24144,30936,-472.24,70.845,0,-294.44,14.452,0,461.77,3387.6,0,20.422,-1095.2,0,0.00058028,0.0042569,0,2.5663e-05,-0.0013762,0,7.6854e-05,1.9204e-05,100,1,0.0094,0.05,-0.0906,0
0,0,-60317,0,0,2.4108e+05,0,0,-0.060317,0,0,0.24108,30846,-471.28,70.518,0,-294.97,13.299,0,458.66,3387.6,0,27.179,-1100.5,0,0.00057637,0.004257,0,3.4154e-05,-0.0013829,0,7.6737e-05,1.9199e-05,100,1,0.0096,0.05,-0.0904,0
0,0,-60302,0,0,2.4071e+05,0,0,-0.060302,0,0,0.24071,30756,-470.32,70.192,0,-295.5,12.146,0,455.55,3387.7,0,33.937,-1105.8,0,0.00057246,0.0042571,0,4.2646e-05,-0.0013895,0,7.662e-05,1.9195e-05,100,1,0.0098,0.05,-0.0902,0
0,0,-60287,0,0,2.4034e+05,0,0,-0.060287,0,0,0.24034,30666,-469.36,69.865,0,-296.03,10.993,0,452.44,3387.8,0,40.695,-1111.1,0,0.00056856,0.0042573,0,5.1138e-05,-0.0013962,0,7.6503e-05,1.919e-05,100,1,0.01,0.05,-0.09,0
0,0,-60208,0,0,2.4e+05,0,0,-0.060208,0,0,0.24,30580,-468.45,69.557,0,-296.36,9.8637,0,449.33,3387.4,0,47.433,-1116.1,0,0.00056465,0.0042568,0,5.9606e-05,-0.0014025,0,7.6395e-05,1.9165e-05,100,1,0.0102,0.05,-0.0898,0
0,0,-60129,0,0,2.3966e+05,0,0,-0.060129,0,0,0.23966,30495,-467.54,69.248,0,-296.7,8.7345,0,446.22,3387.1,0,54.171,-1121.2,0,0.00056074,0.0042563,0,6.8073e-05,-0.0014089,0,7.6287e-05,1.914e-05,100,1,0.0104,0.05,-0.0896,0
0,0,-60051,0,0,2.3932e+05,0,0,-0.060051,0,0,0.23932,30409,-466.63,68.94,0,-297.03,7.6053,0,443.11,3386.7,0,60.909,-1126.2,0,0.00055683,0.0042558,0,7.654e-05,-0.0014152,0,7.6179e-05,1.9115e-05,100,1,0.0106,0.05,-0.0894,0
0,0,-59972,0,0,2.3899e+05,0,0,-0.059972,0,0,0.23899,30324,-465.71,68.631,0,-297.36,6.4762,0,440.01,3386.3,0,67.647,-1131.3,0,0.00055293,0.0042553,0,8.5008e-05,-0.0014216,0,7.6072e-05,1.909e-05,100,1,0.0108,0.05,-0.0892,0
0,0,-59893,0,0,2.3865e+05,0,0,-0.059893,0,0,0.23865,30238,-464.8,68.323,0,-297.69,5.347,0,436.9,3385.9,0,74.385,-1136.3,0,0.00054902,0.0042548,0,9.3475e-05,-0.0014279,0,7.5964e-05,1.9065e-05,100,1,0.011,0.05,-0.089,0
0,0,-59814,0,0,2.3831e+05,0,0,-0.059814,0,0,0.23831,30153,-463.89,68.014,0,-298.02,4.2178,0,433.79,3385.5,0,81.123,-1141.4,0,0.00054511,0.0042544,0,0.00010194,-0.0014343,0,7.5856e-05,1.904e-05,100,1,0.0112,0.05,-0.0888,0
0,0,-59736,0,0,2.3797e+05,0,0,-0.059736,0,0,0.23797,30067,-462.98,67.706,0,-298.35,3.0886,0,430.68,3385.1,0,87.861,-1146.4,0,0.0005412,0.0042539,0,0.00011041,-0.0014406,0,7.5748e-05,1.9014e-05,100,1,0.0114,0.05,-0.0886,0
0,0,-59657,0,0,2.3763e+05,0,0,-0.059657,0,0,0.23763,29982,-462.06,67.397,0,-298.68,1.9594,0,427.57,3384.7,0,94.6,-1151.5,0,0.0005373,0.0042534,0,0.00011888,-0.001447,0,7.564e-05,1.8989e-05,100,1,0.0116,0.05,-0.0884,0
0,0,-59578,0,0,2.3729e+05,0,0,-0.059578,0,0,0.23729,29896,-461.15,67.089,0,-299.01,0.83027,0,424.46,3384.4,0,101.34,-1156.5,0,0.00053339,0.0042529,0,0.00012734,-0.0014533,0,7.5533e-05,1.8964e-05,100,1,0.0118,0.05,-0.0882,0
0,0,-59500,0,0,2.3695e+05,0,0,-0.0595,0,0,0.23695,29811,-460.24,66.78,0,-299.34,-0.29892,0,421.35,3384,0,108.08,-1161.6,0,0.00052948,0.0042524,0,0.00013581,-0.0014597,0,7.5425e-05,1.8939e-05,100,1,0.012,0.05,-0.088,0
0,0,-59421,0,0,2.3662e+05,0,0,-0.059421,0,0,0.23662,29725,-459.33,66.472,0,-299.68,-1.4281,0,418.24,3383.6,0,114.81,-1166.6,0,0.00052557,0.004252,0,0.00014428,-0.001466,0,7.5317e-05,1.8914e-05,100,1,0.0122,0.05,-0.0878,0
0,0,-59342,0,0,2.3628e+05,0,0,-0.059342,0,0,0.23628,29640,-458.42,66.163,0,-300.01,-2.5573,0,415.13,3383.2,0,121.55,-1171.7,0,0.00052167,0.0042515,0,0.00015275,-0.0014724,0,7.5209e-05,1.8889e-05,100,1,0.0124,0.05,-0.0876,0
0,0,-59237,0,0,2.3595e+05,0,0,-0.059237,0,0,0.23595,29557,-457.53,65.83,0,-300.2,-3.5157,0,412.09,3382.5,0,127.22,-1176.3,0,0.00051785,0.0042506,0,0.00015987,-0.0014782,0,7.5106e-05,1.8856e-05,100,1,0.0126,0.05,-0.0874,0
0,0,-59104,0,0,2.3564e+05,0,0,-0.059104,0,0,0.23564,29476,-456.67,65.473,0,-300.26,-4.3035,0,409.13,3381.5,0,131.81,-1180.5,0,0.00051412,0.0042493,0,0.00016564,-0.0014834,0,7.5008e-05,1.8813e-05,100,1,0.0128,0.05,-0.0872,0
0,0,-58971,0,0,2.3533e+05,0,0,-0.058971,0,0,0.23533,29396,-455.81,65.116,0,-300.32,-5.0913,0,406.16,3380.5,0,136.4,-1184.6,0,0.0005104,0.004248,0,0.00017141,-0.0014887,0,7.4909e-05,1.8771e-05,100,1,0.013,0.05,-0.087,0
0,0,-58838,0,0,2.3502e+05,0,0,-0.058838,0,0,0.23502,29316,-454.95,64.758,0,-300.38,-5.8791,0,403.2,3379.4,0,141,-1188.8,0,0.00050667,0.0042467,0,0.00017718,-0.0014939,0,7.481e-05,1.8729e-05,100,1,0.0132,0.05,-0.0868,0
