"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,-2617,0,0,3100.1,0,0,-0.002617,0,0,0.0031001,10.615,-3.8815,0.0014527,0,-0.026117,-0.048571,0,-8.2749,1166.5,0,10.441,978.29,0,-1.0399e-05,0.0014659,0,1.312e-05,0.0012294,0,9.8679e-07,8.3302e-07,7,1,0.00135,0.00135,0,0
0,0,-2713.2,0,0,3215.5,0,0,-0.0027132,0,0,0.0032155,11.18,-4.0252,0.0015028,0,-0.026649,-0.05037,0,-8.4325,1166.8,0,10.641,978.02,0,-1.0597e-05,0.0014662,0,1.3372e-05,0.001229,0,1.0235e-06,8.6365e-07,7,1,0.0014,0.0014,0,0
0,0,-2809.4,0,0,3330.9,0,0,-0.0028094,0,0,0.0033309,11.745,-4.1689,0.0015529,0,-0.027181,-0.052169,0,-8.5901,1167,0,10.841,977.74,0,-1.0795e-05,0.0014665,0,1.3624e-05,0.0012287,0,1.0602e-06,8.9428e-07,7,1,0.00145,0.00145,0,0
0,0,-2905.7,0,0,3446.3,0,0,-0.0029057,0,0,0.0034463,12.31,-4.3127,0.001603,0,-0.027713,-0.053968,0,-8.7476,1167.2,0,11.042,977.47,0,-1.0993e-05,0.0014668,0,1.3876e-05,0.0012283,0,1.097e-06,9.249e-07,7,1,0.0015,0.0015,0,0
0,0,-3001.9,0,0,3561.7,0,0,-0.0030019,0,0,0.0035617,12.875,-4.4564,0.0016531,0,-0.028245,-0.055767,0,-8.9052,1167.4,0,11.242,977.19,0,-1.1191e-05,0.001467,0,1.4128e-05,0.001228,0,1.1337e-06,9.5553e-07,7,1,0.00155,0.00155,0,0
0,0,-3098.1,0,0,3677.1,0,0,-0.0030981,0,0,0.0036771,13.441,-4.6002,0.0017033,0,-0.028777,-0.057566,0,-9.0628,1167.7,0,11.443,976.92,0,-1.1389e-05,0.0014673,0,1.438e-05,0.0012276,0,1.1704e-06,9.8616e-07,7,1,0.0016,0.0016,0,0
0,0,-3194.3,0,0,3792.4,0,0,-0.0031943,0,0,0.0037924,14.006,-4.7439,0.0017534,0,-0.029309,-0.059365,0,-9.2204,1167.9,0,11.643,976.64,0,-1.1587e-05,0.0014676,0,1.4632e-05,0.0012273,0,1.2072e-06,1.0168e-06,7,1,0.00165,0.00165,0,0
0,0,-3290.6,0,0,3907.8,0,0,-0.0032906,0,0,0.0039078,14.571,-4.8876,0.0018035,0,-0.029841,-0.061164,0,-9.3779,1168.1,0,11.844,976.37,0,-1.1785e-05,0.0014679,0,1.4883e-05,0.0012269,0,1.2439e-06,1.0474e-06,7,1,0.0017,0.0017,0,0
0,0,-3386.8,0,0,4023.2,0,0,-0.0033868,0,0,0.0040232,15.136,-5.0314,0.0018536,0,-0.030373,-0.062962,0,-9.5355,1168.4,0,12.044,976.09,0,-1.1983e-05,0.0014682,0,1.5135e-05,0.0012266,0,1.2806e-06,1.078e-06,7,1,0.00175,0.00175,0,0
0,0,-3483,0,0,4138.6,0,0,-0.003483,0,0,0.0041386,15.702,-5.1751,0.0019038,0,-0.030905,-0.064761,0,-9.6931,1168.6,0,12.245,975.82,0,-1.2181e-05,0.0014685,0,1.5387e-05,0.0012263,0,1.3174e-06,1.1087e-06,7,1,0.0018,0.0018,0,0
