"joule heating","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","Points:0","Points:1","Points:2"
1.5526e+05,4.4522e-07,0.0052203,0,0.010535,0.025,0
1.5633e+05,4.5917e-07,0.0052209,0,0.01057,0.025,0
1.5741e+05,4.7313e-07,0.0052215,0,0.010605,0.025,0
1.5848e+05,4.8708e-07,0.005222,0,0.01064,0.025,0
1.5956e+05,5.0104e-07,0.0052226,0,0.010675,0.025,0
1.6063e+05,5.1499e-07,0.0052231,0,0.01071,0.025,0
1.6171e+05,5.2895e-07,0.0052237,0,0.010745,0.025,0
1.6278e+05,5.429e-07,0.0052243,0,0.01078,0.025,0
1.6386e+05,5.5686e-07,0.0052248,0,0.010815,0.025,0
1.6493e+05,5.7081e-07,0.0052254,0,0.01085,0.025,0
1.6601e+05,5.8477e-07,0.0052259,0,0.010885,0.025,0
1.6708e+05,5.9872e-07,0.0052265,0,0.01092,0.025,0
1.6815e+05,6.1268e-07,0.0052271,0,0.010955,0.025,0
1.6923e+05,6.2663e-07,0.0052276,0,0.01099,0.025,0
1.703e+05,6.4059e-07,0.0052282,0,0.011025,0.025,0
1.7138e+05,6.5454e-07,0.0052288,0,0.01106,0.025,0
1.7245e+05,6.685e-07,0.0052293,0,0.011095,0.025,0
1.7353e+05,6.8245e-07,0.0052299,0,0.01113,0.025,0
1.746e+05,6.964e-07,0.0052304,0,0.011165,0.025,0
1.7568e+05,7.1036e-07,0.005231,0,0.0112,0.025,0
1.7675e+05,7.2431e-07,0.0052316,0,0.011235,0.025,0
1.7783e+05,7.3827e-07,0.0052321,0,0.01127,0.025,0
1.789e+05,7.5222e-07,0.0052327,0,0.011305,0.025,0
1.7998e+05,7.6618e-07,0.0052332,0,0.01134,0.025,0
1.8105e+05,7.8013e-07,0.0052338,0,0.011375,0.025,0
1.8213e+05,7.9409e-07,0.0052344,0,0.01141,0.025,0
1.832e+05,8.0804e-07,0.0052349,0,0.011445,0.025,0
1.8428e+05,8.22e-07,0.0052355,0,0.01148,0.025,0
1.8535e+05,8.3595e-07,0.005236,0,0.011515,0.025,0
1.8643e+05,8.4991e-07,0.0052366,0,0.01155,0.025,0
1.875e+05,8.6386e-07,0.0052372,0,0.011585,0.025,0
1.8857e+05,8.7782e-07,0.0052377,0,0.01162,0.025,0
1.8965e+05,8.9177e-07,0.0052383,0,0.011655,0.025,0
1.9081e+05,8.947e-07,0.005239,0,0.01169,0.025,0
1.9198e+05,8.9578e-07,0.0052397,0,0.011725,0.025,0
1.9314e+05,8.9685e-07,0.0052404,0,0.01176,0.025,0
1.9431e+05,8.9792e-07,0.0052411,0,0.011795,0.025,0
1.9548e+05,8.99e-07,0.0052418,0,0.01183,0.025,0
1.9665e+05,9.0007e-07,0.0052425,0,0.011865,0.025,0
1.9782e+05,9.0115e-07,0.0052432,0,0.0119,0.025,0
1.9899e+05,9.0222e-07,0.0052439,0,0.011935,0.025,0
2.0016e+05,9.033e-07,0.0052446,0,0.01197,0.025,0
2.0133e+05,9.0437e-07,0.0052453,0,0.012005,0.025,0
2.025e+05,9.0545e-07,0.005246,0,0.01204,0.025,0
2.0367e+05,9.0652e-07,0.0052467,0,0.012075,0.025,0
2.0484e+05,9.076e-07,0.0052474,0,0.01211,0.025,0
2.0601e+05,9.0867e-07,0.0052481,0,0.012145,0.025,0
2.0718e+05,9.0975e-07,0.0052488,0,0.01218,0.025,0
2.0835e+05,9.1082e-07,0.0052494,0,0.012215,0.025,0
2.0952e+05,9.119e-07,0.0052501,0,0.01225,0.025,0
2.1078e+05,9.1506e-07,0.005251,0,0.012285,0.025,0
